SSB4	"S@X 152 "	" Pinkfresh "	(Bayonetta)	"VexX | Seagull Joe "	(Sonic)	" SSB4 LF "	aoBBwjLe8Bg
SSB4	"S@X 152 "	" TCG | Boss "	(Wario)	"VexX | Seagull Joe "	(Sonic)	" SSB4 LS "	Q4GjfDfjsUw
SSB4	"S@X 152 "	" TCG | Boss "	(Wario)	"Mister Eric "	(R.O.B.)	" SSB4 Losers Quarters "	05LU7dYDPOQ
SSB4	"S@X 152 "	" Tension "	(Fox)	"VexX | Seagull "	(Sonic)	" SSB4 Losers Quarters "	AJL75DLcC0s
SSB4	"S@X 152 "	" Pinkfresh "	(Bayonetta)	"VexX | Seagull Joe SSB4 Winners Semis - Smash Wii U - Smash "	None	4	TbF3QJQzoTE
SSB4	"S@X 152 "	" TCG | Boss "	(Luigi)	"Angel Cortes "	(Diddy)	" SSB4 Winners Semis "	-gGVwkNGcHI
SSB4	"S@X 152 "	" ZD "	(Luigi)	"VexX | Seagull Joe "	(Sonic)	" SSB4 Winners Quarters "	11Xxm6t2oiE
SSB4	"S@X 152 "	" TCG | Boss "	(Luigi)	"Tension "	(Fox)	" SSB4 Winners Quarters "	xyg-2tIS8J8
SSB4	"S@X 152 "	" VGBC | Logic "	(Olimar)	"ZD "	(Luigi)	" SSB4 Tournament "	mTb63oQ-HRg
SSB4	"S@X 152 "	" Dexter "	(Corrin)	"DG | Zephyr "	(Cloud)	" SSB4 Tournament "	S3ZIaA7wP94
SSB4	"S@X l52 "	" DH | Squidboy "	"(Meta Knight)"	"VexX | Seagull Joe "	(Sonic)	" SSB4 "	-kgn1Ezw4dc
Unknown	"F@X 152 "	" CU | Ludovic "	(Chun-Li)	"Steve H "	(Ryu)	" SFV Grand Finals "	BUqUC9XmVO4
Unknown	"F@X 152 "	" CU | Ludovic "	(Chun-Li)	"Steve H "	(Ryu)	" SFV Winners Finals "	A59uHYMfdLg
Unknown	"F@X 152 "	" IGT Unknown "	(Cammy)	"CU | OGYawn "	(Laura)	" SFV Losers Semis "	YCqOzQy5-9c
Unknown	"F@X 152 "	" CU | Ludovic "	(Chun-Li)	"IGT Unknown "	(Cammy)	" SFV Winners Semis "	mDh_XKFAmFs
Melee	"S@X 152 "	" SSI | Zain "	(Marth)	"SmashG0D "	(Marth)	" SSBM Losers Semis "	7pGgJEroxZo
SSB4	"CB2016 "	" PG | ESAM "	(Pikachu)	"E2C | Tyroy "	"(Bayonetta, Sheik)"	" SSB4 GF "	mmJwYGPlZtU
SSB4	"CB2016 "	" GGA | JJROCKETS "	(Diddy)	"E2C | Tyroy "	"(Sheik, Bayonetta)"	" SSB4 LF "	QzMZ5t5c9tU
SSB4	"CB2016 "	" PG | MVD "	"(Diddy Kong)"	"E2C | Tyroy "	"(Bayonetta, Sheik)"	" SSB4 LS "	RPsmlusFUqo
SSB4	"CB2016 "	" GGA | JJRockets "	"(Diddy Kong)"	"PG | ESAM "	(Pikachu)	" SSB4 WF "	1W8U7MuACBI
SSB4	"CB2016 "	" GGA | JJROCKETS "	(Diddy)	"E2C | Tyroy "	"(Bayonetta, Sheik)"	" SSB4 WS "	BFVM0B9OWAg
SSB4	"CB2016 "	" Skorpio "	(Robin)	"GGA | Dan "	(Mario)	" SSB4 Losers Top 8 "	nSsCqQ1p-e8
SSB4	"CB2016 "	" PG | ESAM "	(Pikachu)	"dR | Dekillsage "	"(Sheik, Mewtwo)"	" SSB4 WS "	vLslq9Lkp1E
Melee	"CB2016 "	" PG | ESAM "	"(Samus, Fox)"	"Drephen "	(Sheik)	" SSBM Losers Semis "	1hCQIxy7Whg
Melee	"CB2016 "	" PG | ESAM "	(Samus)	"Vro "	(Marth)	" SSBM Losers Quarters "	2C2J-WRNBDw
Melee	"CB2016 "	" Drephen "	(Sheik)	"Nerdtron | David Cue "	(Falco)	" SSBM Losers Quarters "	V7lSpwBE-tc
Melee	"CB2016 "	" Triple R "	(Kirby)	"PG | ESAM "	(Samus)	" SSBM Losers Top 8 "	aRHNhWFGKKw
Melee	"CB2016 "	" Trahh "	"(Falco, Fox)"	"Nerdtron | DavidCue "	(Falco)	" SSBM Losers top 8 "	hcTlYPP9fJY
Unknown	"CB2016 "	" BX3 | Zeloxory "	(Ember)	"Boomie "	"(Sir Roland, Jhala, Ulgrim)"	" Brawlhalla Grand Finals"	nDq3a4odfxY
Unknown	"CB2016 "	" Boomie "	"(Koji, Bodvar, Brynn)"	"BX3 | Zeloxory "	(Ember)	" "	8tR5ktqES4o
Unknown	"CB2016 "	" Stevenator "	(Bodvar)	"BX3 | Zeloxory "	(Ember)	" Brawlhalla Winners Semis"	TXfP7fs6elY
Unknown	"CB2016 "	" Twlight "	(Bodvar)	"KE | Ender "	"(Koji, Diana)"	" Brawlhalla Losers Top 8"	A0nAZOSCzmU
Melee	"CB2016 "	" PG | ESAM "	(Samus)	"ORLY "	"(Captain Falcon)"	" SSBM Losers Qualifier "	ylNm6cbP8SE
Melee	"CB2016 "	" PG | ESAM "	(Samus)	"Drephen "	(Sheik)	" SSBM Winners Quarters  "	oJE9Ps7aisw
SSB4	"CB2016 "	" GGA | Dan "	(Mario)	"cR Dekillsage "	(Sheik)	" SSB4 WQ "	cFJ_l2PUbn4
SSB4	"CB2016 "	" PG | ESAM "	(Pikachu)	"Skorpio "	(Robin)	" SSB4 WQ "	-gjBiftf0yg
SSB4	"CB2016 "	" GGA | JJROCKETS "	"(Diddy Kong)"	"PG | MVD "	"(Diddy, Donkey Kong)"	" WQ "	cyU8Wjl9mGg
SSB4	"CB2016 "	" Zinoto "	"(Diddy Kong)"	"E2C | Tyroy "	"(Bayonetta, Sheik)"	" SSB4 WQ "	_spzIU4eLF8
SSB4	"CB2016 "	" PG | MVD "	"(Diddy Kong)"	"Shinjoebi "	(Greninja)	" SSB4 Top 32 "	kfSeXAlggNc
SSB4	"CB2016 "	" Skorpio "	(Robin)	"Hook | Dill "	(Sheik)	" SSB4 Top 32 "	nPrUr1OAfC4
SSB4	"CB2016 "	" cR | dekillsage "	"(Sheik, Fox)"	"UR | Ned "	"(Diddy Kong, Cloud)"	" SSB4 Top 32 "	FYHT4crWsVw
SSB4	"CB2016 "	" Ksev "	(Fox)	"GGA | Dan "	(Mario)	" SSB4 Top 32 "	kocRcxy09sc
SSB4	"CB2016 "	" Triple R "	(Kirby)	"GGA | JJRockets "	"(Diddy Kong)"	" SSB4 Top 32 "	QeW_VjyYJmc
SSB4	"CB2016 Pools "	" Ksev "	(Fox)	"S4U | Z2G "	(Lucario)	" "	WvdzjU52as4
SSB4	"CB2016 Pools "	" GGA | Nite "	(Rosalina)	"Skorpio "	(Robin)	" SSB4 Tournament "	JCmXxU-w9ik
SSB4	"CB2016 Pools "	" GGA | Nite "	(Rosalina)	"NN7 "	(Falco)	" SSB4 Tournament "	kvwQ4s92OQU
SSB4	"CB2016 Pools "	" Ned "	(Cloud)	"LU | Burst "	(Palutena)	" SSB4 Tournament "	WOFnPJvW7u8
SSB4	"CB2016 Pools "	" PG | ESAM "	(Pikachu)	"Sunshine "	"(Sheik, Link)"	" SSB4 Tournament "	04S9R93icck
SSB4	"CB2016 "	" S4U | Z2G "	(Lucario)	"Ho3K | Munoz "	(Mario)	" SSB4 Tournament "	Nb60-etLqHI
SSB4	"CB2016 Pools "	" UR | Ned "	(Cloud)	"Jibca "	(Cloud)	" "	Zq1hgReuG8g
Melee	"CB2016 Pools "	" Coleslaw "	(Sheik)	"PG | Bear "	"(Icies, Ganon)"	" SSBM "	Ie1Tv50uWG4
Melee	"CB2016 Pools "	" Grass Hoppa "	(Peach)	"LSL | Papapaint "	(Luigi)	" SSBM "	9ucTHlY72G0
